,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
513,513,513,513,2021-02-18,289.4278564453125,303.9643249511719,281.6776733398437,-0.04782294273577825,0.027514367800525852
514,514,514,514,2021-02-19,318.10552978515625,302.33526611328125,291.6353454589844,0.0521615088924694,0.09076466463457056
515,515,515,515,2021-02-22,325.3448791503906,303.12567138671875,290.2858581542969,0.07330031686866034,0.12077412664539344
516,516,516,516,2021-02-23,325.2485046386719,301.7182922363281,298.12274169921875,0.07798735776985355,0.09098857331327226
517,517,517,517,2021-02-24,333.2011108398437,305.6608581542969,298.0938720703125,0.09010068496125401,0.11777242693955925
518,518,518,518,2021-02-25,335.48565673828125,300.8314208984375,305.6127319335937,0.11519486806380907,0.09774764492200094
519,519,519,519,2021-02-26,336.536376953125,289.4278564453125,303.9643249511719,0.16276429327290298,0.10715748306050532
520,520,520,520,2021-03-01,346.5519714355469,318.10552978515625,302.33526611328125,0.08942454307412673,0.1462505710653621
521,521,521,521,2021-03-02,338.7727966308594,325.3448791503906,303.12567138671875,0.041272871776972586,0.11759850322496468
522,522,522,522,2021-03-03,330.6947937011719,325.2485046386719,301.7182922363281,0.016745008769680325,0.09603826552931438
523,523,523,523,2021-03-04,325.7690734863281,333.2011108398437,305.6608581542969,-0.022304959712717953,0.065786033100387
524,524,524,524,2021-03-05,337.2208251953125,335.48565673828125,300.8314208984375,0.00517210921593847,0.1209627777184894
525,525,525,525,2021-03-08,340.95135498046875,336.536376953125,289.4278564453125,0.01311887311355564,0.17801845049732323
526,526,526,526,2021-03-09,339.97772216796875,346.5519714355469,318.10552978515625,-0.01897045698613442,0.0687576616401
527,527,527,527,2021-03-10,348.2003173828125,338.7727966308594,325.3448791503906,0.027828446810697516,0.07024987850464037
528,528,528,528,2021-03-11,351.32354736328125,330.6947937011719,325.2485046386719,0.06238003759064403,0.08016960063683287
529,529,529,529,2021-03-12,356.1721496582031,325.7690734863281,333.2011108398437,0.09332707935258,0.06894046289479716
530,530,530,530,2021-03-15,360.8763122558594,337.2208251953125,335.48565673828125,0.07014835767288696,0.07568328185602846
531,531,531,531,2021-03-16,360.0569763183594,340.95135498046875,336.536376953125,0.05603620885737515,0.0698902138846953
532,532,532,532,2021-03-17,365.590087890625,339.97772216796875,346.5519714355469,0.07533542362520529,0.0549358192256566
533,533,533,533,2021-03-18,366.6985778808594,348.2003173828125,338.7727966308594,0.053125340715039604,0.08243218324412593
534,534,534,534,2021-03-19,359.054443359375,351.32354736328125,330.6947937011719,0.02200506073138242,0.08575777483763458
535,535,535,535,2021-03-22,358.19647216796875,356.1721496582031,325.7690734863281,0.005683550810214211,0.09954105936026347
536,536,536,536,2021-03-23,344.6047668457031,360.8763122558594,337.2208251953125,-0.045088981619330615,0.021896458043817457
537,537,537,537,2021-03-24,347.9014587402344,360.0569763183594,340.95135498046875,-0.03375998349599307,0.020384443875179015
538,538,538,538,2021-03-25,353.5791931152344,365.590087890625,339.97772216796875,-0.03285344754473751,0.04000694769213653
539,539,539,539,2021-03-26,358.8713073730469,366.6985778808594,348.2003173828125,-0.021345243695915284,0.03064612367513342
540,540,540,540,2021-03-29,354.7069702148437,359.054443359375,351.32354736328125,-0.012108116818874581,0.009630504066565848
